Station,Url,EngName,Latitude,Longitude,Passengers
中洲川端,https://ja.wikipedia.org/wiki/中洲川端駅,Nakasukawabata,33.59498333,130.4066028,38465
天神南,https://ja.wikipedia.org/wiki/天神南駅,Tenjinminami,33.58819722,130.4017278,30201
天神,https://ja.wikipedia.org/wiki/天神駅,Tenjin,33.59148889,130.3993583,148957
祇園,https://ja.wikipedia.org/wiki/祇園駅_(福岡県),Gion,33.59404444,130.4146778,15772
赤坂,https://ja.wikipedia.org/wiki/赤坂駅_(福岡県),Akasaka,33.58911667,130.39085,32937
渡辺通,https://ja.wikipedia.org/wiki/渡辺通駅,Watanabedori,33.58396944,130.4048444,7966
呉服町,https://ja.wikipedia.org/wiki/呉服町駅,Gofukumachi,33.59821667,130.4098889,8199
博多,https://ja.wikipedia.org/wiki/博多駅,Hakata,33.59,130.4206111,461079
薬院,https://ja.wikipedia.org/wiki/薬院駅,Yakuin,33.581925,130.4016833,60188
千代県庁口,https://ja.wikipedia.org/wiki/千代県庁口駅,ChiyokenchōguchiChiyoPrefecturalOffice,33.6028,130.4145583,9423
薬院大通,https://ja.wikipedia.org/wiki/薬院大通駅,YakuinodoriZooBotanicalGarden,33.58040556,130.3961583,6258
馬出九大病院前,https://ja.wikipedia.org/wiki/馬出九大病院前駅,MaidashikyūdaibyōinmaeMaidashiKyushuUniversityHospital,33.60921389,130.4193167,12551
六本松,https://ja.wikipedia.org/wiki/六本松駅,RopponmatsuScienceMuseum,33.57767778,130.3772861,13184
大濠公園,https://ja.wikipedia.org/wiki/大濠公園駅,OhorikoenOhoriParkFukuokaArtMuseum,33.59008333,130.3788528,22162
竹下,https://ja.wikipedia.org/wiki/竹下駅,Takeshita,33.56868056,130.431425,17078
藤崎,https://ja.wikipedia.org/wiki/藤崎駅_(福岡県),Fujisaki,33.58136111,130.3481694,24714
唐人町,https://ja.wikipedia.org/wiki/唐人町駅,Tōjinmachi,33.59026389,130.3705333,23542
南福岡,https://ja.wikipedia.org/wiki/南福岡駅,MinamiFukuoka,33.54213056,130.4605944,20535
室見,https://ja.wikipedia.org/wiki/室見駅,Muromi,33.58096111,130.340075,16760
西新,https://ja.wikipedia.org/wiki/西新駅,Nishijin,33.58380278,130.3597417,49192
賀茂,https://ja.wikipedia.org/wiki/賀茂駅,Kamo,33.55048056,130.3378778,6038
別府,https://ja.wikipedia.org/wiki/別府駅_(福岡県),Befu,33.57416944,130.3696278,11453
桜坂,https://ja.wikipedia.org/wiki/桜坂駅,Sakurazaka,33.57729167,130.3868194,3863
次郎丸,https://ja.wikipedia.org/wiki/次郎丸駅,Jiromaru,33.55272778,130.3295444,6141
大橋,https://ja.wikipedia.org/wiki/大橋駅_(福岡県),Ōhashi,33.55920278,130.4263444,36635
福工大前,https://ja.wikipedia.org/wiki/福工大前駅,Fukkōdaimae,33.69844167,130.4401167,23497
西鉄平尾,https://ja.wikipedia.org/wiki/西鉄平尾駅,NishitetsuHirao,33.57359722,130.4062778,13019
福岡空港,https://ja.wikipedia.org/wiki/福岡空港駅,FukuokakūkōAirport,33.59707778,130.4485417,54647
姪浜,https://ja.wikipedia.org/wiki/姪浜駅,Meinohama,33.58370278,130.3252361,99913
井尻,https://ja.wikipedia.org/wiki/井尻駅,Ijiri,33.55196667,130.4433861,22749
笹原,https://ja.wikipedia.org/wiki/笹原駅,Sasabaru,33.553275,130.4486139,10619
箱崎宮前,https://ja.wikipedia.org/wiki/箱崎宮前駅,HakozakimiyamaeHakozakiShrine,33.61583333,130.4195806,9037
橋本,https://ja.wikipedia.org/wiki/橋本駅_(福岡県),Hashimoto,33.55520556,130.3210639,8817
香椎宮前,https://ja.wikipedia.org/wiki/香椎宮前駅,KashiiMiyamae,33.65465833,130.442525,2418
雑餉隈,https://ja.wikipedia.org/wiki/雑餉隈駅,Zasshonokuma,33.547225,130.4627,15047
吉塚,https://ja.wikipedia.org/wiki/吉塚駅,Yoshizuka,33.60716111,130.4239056,30073
下山門,https://ja.wikipedia.org/wiki/下山門駅,Shimoyamato,33.58191944,130.3081722,5614
西鉄香椎,https://ja.wikipedia.org/wiki/西鉄香椎駅,NishitetsuKashii,33.659375,130.4417528,3930
舞松原,https://ja.wikipedia.org/wiki/舞松原駅,Maimatsubara,33.64518889,130.4551056,2080
千早,https://ja.wikipedia.org/wiki/千早駅,NishitetsuChihayaChihaya,33.64925833,130.4401639,25434
高宮,https://ja.wikipedia.org/wiki/高宮駅_(福岡県),Takamiya,33.56684167,130.4149889,20297
箱崎,https://ja.wikipedia.org/wiki/箱崎駅,Hakozaki,33.61811111,130.4270083,11947
箱崎九大前,https://ja.wikipedia.org/wiki/箱崎九大前駅,HakozakikyūdaimaeHakozakiKyushuUniversity,33.62211111,130.4210389,6546
野芥,https://ja.wikipedia.org/wiki/野芥駅,Noke,33.54833056,130.3465583,8073
梅林,https://ja.wikipedia.org/wiki/梅林駅_(福岡県),Umebayashi,33.54580556,130.3549389,3242
土井,https://ja.wikipedia.org/wiki/土井駅,Doi,33.63499444,130.4660972,2963
福大前,https://ja.wikipedia.org/wiki/福大前駅,Fukudaimae,33.54746944,130.3622278,14098
七隈,https://ja.wikipedia.org/wiki/七隈駅,Nanakuma,33.55326389,130.3616806,9968
香椎,https://ja.wikipedia.org/wiki/香椎駅,Kashii,33.65952778,130.4441111,25321
東比恵,https://ja.wikipedia.org/wiki/東比恵駅,HigashiHie,33.58989444,130.4312778,23356
名島,https://ja.wikipedia.org/wiki/名島駅,Najima,33.642675,130.4317306,2982
香椎神宮,https://ja.wikipedia.org/wiki/香椎神宮駅,Kashiijingū,33.64975278,130.4526306,2033
金山,https://ja.wikipedia.org/wiki/金山駅_(福岡県),Kanayama,33.55937222,130.3615611,6098
茶山,https://ja.wikipedia.org/wiki/茶山駅_(福岡県),Chayama,33.56606389,130.3654306,4986
貝塚,https://ja.wikipedia.org/wiki/貝塚駅_(福岡県),Kaizuka,33.632175,130.4255778,38139
香椎花園前,https://ja.wikipedia.org/wiki/香椎花園前駅,KashiiKaenmae,33.66986667,130.4345,3280
周船寺,https://ja.wikipedia.org/wiki/周船寺駅,Susenji,33.570775,130.245775,10452
和白,https://ja.wikipedia.org/wiki/和白駅,Wajiro,33.68921111,130.4296444,5383
今宿,https://ja.wikipedia.org/wiki/今宿駅,Imajuku,33.57943333,130.2735611,10957
九産大前,https://ja.wikipedia.org/wiki/九産大前駅,Kyūsandaimae,33.67360278,130.4411972,15324
九大学研都市,https://ja.wikipedia.org/wiki/九大学研都市駅,KyūdaiGakkentoshi,33.57816111,130.2598778,18893
奈多,https://ja.wikipedia.org/wiki/奈多駅,Nata,33.68672222,130.4125,2247
西戸崎,https://ja.wikipedia.org/wiki/西戸崎駅,Saitozaki,33.65023611,130.357825,1808
唐の原,https://ja.wikipedia.org/wiki/唐の原駅,Tōnoharu,33.68005,130.4345056,1092
三苫,https://ja.wikipedia.org/wiki/三苫駅,Mitoma,33.70207222,130.4225444,3478
